detection_id,latitude,longitude,acq_date,acq_time,acq_datetime,bright_ti4,bright_ti5,frp,confidence,satellite,instrument,daynight,type,scan,track,version
WB2024_0000001,22.13874,88.68441,2024-01-01,753,2024-01-01 07:53:00,335.64,298.31,2.43,n,N20,VIIRS,D,0,0.35,0.57,2
WB2024_0000002,22.24785,86.85403,2024-01-01,753,2024-01-01 07:53:00,333.59,297.55,3.05,n,N20,VIIRS,D,0,0.54,0.51,2
WB2024_0000003,22.63338,87.5902,2024-01-01,753,2024-01-01 07:53:00,330.87,296.04,3.96,n,N20,VIIRS,D,0,0.6,0.53,2
WB2024_0000004,22.63089,87.59277,2024-01-01,753,2024-01-01 07:53:00,328.14,296.45,4.05,n,N20,VIIRS,D,0,0.61,0.53,2
WB2024_0000005,22.95691,87.82234,2024-01-01,753,2024-01-01 07:53:00,339.24,296.41,8.08,n,N20,VIIRS,D,0,0.63,0.54,2
WB2024_0000006,23.3621,87.51662,2024-01-01,753,2024-01-01 07:53:00,333.63,296.52,4.57,n,N20,VIIRS,D,0,0.61,0.53,2
WB2024_0000007,23.35893,87.51571,2024-01-01,753,2024-01-01 07:53:00,330.74,296.65,4.49,n,N20,VIIRS,D,0,0.61,0.53,2
WB2024_0000008,22.25137,86.85675,2024-01-01,753,2024-01-01 07:53:00,327.5,298.33,5.98,l,N20,VIIRS,D,0,0.54,0.51,2
WB2024_0000009,23.55682,87.24049,2024-01-01,753,2024-01-01 07:53:00,328.53,296.76,3.68,n,N20,VIIRS,D,2,0.59,0.53,2
WB2024_0000010,23.5602,87.23849,2024-01-01,753,2024-01-01 07:53:00,329.72,296.17,5.02,n,N20,VIIRS,D,2,0.59,0.53,2
WB2024_0000011,23.68491,88.01431,2024-01-01,753,2024-01-01 07:53:00,325.25,295.33,1.85,n,N20,VIIRS,D,0,0.33,0.55,2
WB2024_0000012,22.05403,88.12703,2024-01-01,753,2024-01-01 07:53:00,329.25,301.38,2.68,l,N20,VIIRS,D,2,0.32,0.55,2
WB2024_0000013,22.06383,88.12278,2024-01-01,753,2024-01-01 07:53:00,326.07,296.21,2.3,l,N20,VIIRS,D,2,0.32,0.55,2
WB2024_0000014,23.46811,87.97099,2024-01-01,753,2024-01-01 07:53:00,326.48,294.28,2.34,n,N20,VIIRS,D,0,0.33,0.55,2
WB2024_0000015,26.93323,88.67017,2024-01-01,754,2024-01-01 07:54:00,336.05,296.39,7.26,n,N20,VIIRS,D,0,0.4,0.6,2
WB2024_0000016,26.93354,88.6741,2024-01-01,754,2024-01-01 07:54:00,347.33,293.6,7.26,n,N20,VIIRS,D,0,0.4,0.6,2
WB2024_0000017,22.37965,87.28,2024-01-01,2021,2024-01-01 20:21:00,313.55,289.51,2.29,n,N20,VIIRS,N,2,0.56,0.52,2
WB2024_0000018,22.38078,87.27467,2024-01-01,2021,2024-01-01 20:21:00,296.07,286.03,2.29,n,N20,VIIRS,N,2,0.56,0.52,2
WB2024_0000019,22.91087,88.46754,2024-01-01,2021,2024-01-01 20:21:00,300.28,287.12,0.77,n,N20,VIIRS,N,0,0.33,0.55,2
WB2024_0000020,23.51049,87.27737,2024-01-01,2021,2024-01-01 20:21:00,298.15,285.32,0.97,n,N20,VIIRS,N,2,0.53,0.5,2
WB2024_0000021,23.54828,86.54605,2024-01-01,2021,2024-01-01 20:21:00,295.22,284.26,0.78,n,N20,VIIRS,N,2,0.48,0.48,2
