event_id,status,before_ndvi_mean,before_ndvi_median,before_ndvi_std,before_ndvi_p10,before_ndvi_p90,after_ndvi_mean,after_ndvi_median,after_ndvi_std,after_ndvi_p10,after_ndvi_p90,delta_ndvi_mean,delta_ndvi_median,delta_ndvi_p90,before_nbr_mean,before_nbr_median,before_nbr_std,before_nbr_p10,before_nbr_p90,after_nbr_mean,after_nbr_median,after_nbr_std,after_nbr_p10,after_nbr_p90,dnbr_mean,dnbr_median,dnbr_std,dnbr_p10,dnbr_p25,dnbr_p75,dnbr_p90,dnbr_min,dnbr_max,before_ndvi_valid_percent,after_ndvi_valid_percent,before_nbr_valid_percent,after_nbr_valid_percent,paired_nbr_valid_percent
WB2024_EVT_000716,PASS,0.229512,0.217522,0.149997,0.036181,0.454712,0.299419,0.290976,0.184117,0.057303,0.564922,-0.069906,-0.063401,0.005253,0.164939,0.147851,0.185522,-0.022709,0.420484,0.143362,0.133831,0.200216,-0.103285,0.419116,0.021577,0.018736,0.120571,-0.072138,-0.029397,0.070998,0.131389,-0.994637,0.786487,100.000000,100.000000,100.000000,100.000000,100.000000
WB2024_EVT_000926,PASS,-0.087051,-0.061923,0.414086,-0.714197,0.421888,0.057667,0.035683,0.162832,-0.134717,0.274136,-0.144718,-0.081140,0.165966,-0.444945,-0.397744,0.283008,-0.893467,-0.122452,-0.022040,-0.022133,0.167779,-0.251875,0.188296,-0.422905,-0.370585,0.223746,-0.761724,-0.504421,-0.277701,-0.197881,-1.439608,0.006245,100.000000,100.000000,100.000000,100.000000,100.000000
WB2024_EVT_001083,PASS,0.313268,0.312876,0.138237,0.080484,0.504824,0.325776,0.320116,0.171528,0.074942,0.574187,-0.012508,-0.023875,0.093617,0.086163,0.051076,0.150176,-0.082455,0.330693,0.048792,0.001316,0.164400,-0.118420,0.318058,0.037370,0.023232,0.061538,-0.015335,-0.000743,0.053571,0.137491,-0.212563,0.299282,100.000000,100.000000,100.000000,100.000000,100.000000
WB2024_EVT_001308,PASS,0.507925,0.528310,0.104262,0.353427,0.625064,0.477301,0.533599,0.190696,0.172835,0.689855,0.030624,-0.007550,0.219182,0.277815,0.289280,0.130783,0.088252,0.443800,0.153026,0.209684,0.243599,-0.227100,0.437237,0.124789,0.066646,0.149519,-0.016883,0.014553,0.211044,0.367524,-0.164710,0.667295,100.000000,100.000000,100.000000,100.000000,100.000000
WB2024_EVT_001988,PASS,0.067842,0.047757,0.084906,-0.021645,0.175847,0.172380,0.127562,0.118228,0.084310,0.347347,-0.104538,-0.089401,0.028344,0.130052,0.147939,0.103213,-0.026636,0.243158,-0.043470,-0.074729,0.100348,-0.127974,0.099740,0.173521,0.192847,0.133462,0.001010,0.084047,0.269906,0.330909,-0.410940,0.524116,100.000000,100.000000,100.000000,100.000000,100.000000
WB2024_EVT_002151,PASS,0.452714,0.441576,0.126670,0.308776,0.620244,0.413046,0.404698,0.187564,0.160153,0.678016,0.047499,0.002489,0.231762,0.102330,0.083518,0.142278,-0.036460,0.287339,0.007014,0.039854,0.235351,-0.365337,0.291623,0.112733,0.015618,0.168365,-0.023401,-0.007846,0.274049,0.386797,-0.508536,0.738685,86.274510,100.000000,86.274510,100.000000,86.274510
WB2024_EVT_002255,PASS,0.002607,-0.044877,0.214025,-0.222488,0.312163,0.052999,-0.011253,0.293540,-0.241101,0.474899,-0.050032,-0.067334,0.122607,-0.344429,-0.364467,0.192314,-0.570013,-0.083884,-0.172544,-0.163558,0.311389,-0.566759,0.231633,-0.171885,-0.166659,0.232507,-0.482213,-0.276641,-0.027405,0.077528,-0.976880,0.638715,100.000000,99.646706,100.000000,100.000000,100.000000
WB2024_EVT_002263,PASS,0.204193,0.208279,0.070827,0.104903,0.292432,0.219446,0.196650,0.068208,0.157167,0.312729,-0.015253,-0.002229,0.086352,0.264558,0.267736,0.053541,0.199699,0.326206,-0.084865,-0.108130,0.072871,-0.157499,0.024025,0.349422,0.367020,0.095924,0.221938,0.293587,0.417969,0.456640,-0.172172,0.596691,100.000000,100.000000,100.000000,100.000000,100.000000
WB2024_EVT_002312,PASS,0.269964,0.207831,0.135189,0.183729,0.486719,0.220552,0.167591,0.116312,0.140000,0.407187,0.049412,0.044830,0.100455,0.011942,-0.018884,0.101996,-0.063657,0.143336,-0.155600,-0.227187,0.193919,-0.355315,0.119727,0.167543,0.205297,0.139794,-0.008213,0.032116,0.296882,0.331077,-0.261203,0.418982,100.000000,100.000000,100.000000,100.000000,100.000000
WB2024_EVT_002359,PASS,0.309642,0.278356,0.110616,0.212729,0.467147,0.295278,0.260504,0.104727,0.196793,0.452979,0.014364,0.016856,0.054238,0.043394,0.039607,0.102063,-0.059146,0.167705,0.025938,0.016725,0.112902,-0.120339,0.183022,0.017456,0.008997,0.077020,-0.066042,-0.026009,0.045727,0.134954,-0.556877,0.305406,100.000000,100.000000,100.000000,100.000000,100.000000
