event_id,before_readable,before_width,before_height,before_bands,before_valid_percent,before_mean_brightness,before_median_brightness,before_dark_percent,before_bright_percent,before_clipped_reflectance_percent,before_contrast,before_min_value,before_max_value,before_error,after_readable,after_width,after_height,after_bands,after_valid_percent,after_mean_brightness,after_median_brightness,after_dark_percent,after_bright_percent,after_clipped_reflectance_percent,after_contrast,after_min_value,after_max_value,after_error,brightness_difference,imagery_quality,quality_reason,brightness_metric_basis,clipping_metric_basis,contrast_metric_basis
WB2024_EVT_000716,True,104.0,111.0,7.0,100.0,0.10083158314228058,0.0989999994635582,0.0,0.0,0.0,0.03809498995542526,0.0681999996304512,0.241799995303154,,True,104,111,7,100.0,0.08835320919752121,0.08469999581575394,0.0,0.0,0.0,0.04949001222848892,0.05310000106692314,0.2498999983072281,,0.012478373944759369,GOOD,No obvious image-quality problems detected,raw Sentinel-2 reflectance,raw reflectance >= 1.0; potential clipping only,raw reflectance p95 - p5
WB2024_EVT_000926,True,102.0,111.0,7.0,100.0,0.022806866094470024,0.021300001069903374,45.23935700406289,0.0,0.0,0.033998335711658,0.0,0.09889999777078629,,True,102,111,7,100.0,0.05919557437300682,0.05873333290219307,0.0,0.0,0.0,0.02506667748093605,0.031599998474121094,0.10830000042915344,,0.0363887082785368,QUESTIONABLE,AFTER: very low contrast,raw Sentinel-2 reflectance,raw reflectance >= 1.0; potential clipping only,raw reflectance p95 - p5
WB2024_EVT_001083,True,102.0,113.0,7.0,100.0,0.09386962652206421,0.07756666094064713,0.0,0.0,0.0,0.1292833462357521,0.05050000175833702,0.2599000036716461,,True,102,113,7,100.0,0.08354496955871582,0.06413333863019943,0.0,0.0,0.0,0.15166666731238365,0.029500000178813934,0.2777000069618225,,0.010324656963348389,GOOD,No obvious image-quality problems detected,raw Sentinel-2 reflectance,raw reflectance >= 1.0; potential clipping only,raw reflectance p95 - p5
WB2024_EVT_001308,True,100.0,112.0,7.0,100.0,0.07309658825397491,0.07063332945108414,0.0,0.0,0.0,0.056735001504421234,0.033399999141693115,0.16410000622272491,,True,100,112,7,100.0,0.06636808812618256,0.06469999998807907,0.0,0.0,0.0,0.04650333151221275,0.026799999177455902,0.14990000426769257,,0.006728500127792358,GOOD,No obvious image-quality problems detected,raw Sentinel-2 reflectance,raw reflectance >= 1.0; potential clipping only,raw reflectance p95 - p5
WB2024_EVT_001988,True,103.0,112.0,7.0,100.0,0.316195011138916,0.2236500084400177,0.0,4.247572815533981,0.0,0.7064583078026772,0.055399999022483826,1.0647000074386597,,True,103,112,7,100.0,0.0936397835612297,0.09293332695960999,0.0,0.0,0.0,0.04909999668598175,0.03440000116825104,0.2076999992132187,,0.2225552275776863,GOOD,No obvious image-quality problems detected,raw Sentinel-2 reflectance,raw reflectance >= 1.0; potential clipping only,raw reflectance p95 - p5
WB2024_EVT_002151,True,102.0,111.0,7.0,100.0,0.05309654399752617,0.05583333596587181,13.725490196078432,0.0,0.0,0.09069833159446716,0.0,0.2542000114917755,,True,102,111,7,100.0,0.06590670347213745,0.05925000458955765,0.1413177883766119,0.0,0.0,0.0794300027191639,0.008999999612569809,0.3009999990463257,,0.012810159474611282,GOOD,No obvious image-quality problems detected,raw Sentinel-2 reflectance,raw reflectance >= 1.0; potential clipping only,raw reflectance p95 - p5
WB2024_EVT_002255,True,102.0,111.0,7.0,100.0,0.03384546935558319,0.033666666597127914,3.77141847730083,0.0,0.0,0.027531666681170464,0.011300000362098217,0.09539999812841415,,True,102,111,7,100.0,0.11318239569664001,0.04906666651368141,5.343578872990638,3.2238120473414593,1.8282988871224166,0.6260499656200409,0.0,1.5180000066757202,,0.07933692634105682,QUESTIONABLE,BEFORE: very low contrast,raw Sentinel-2 reflectance,raw reflectance >= 1.0; potential clipping only,raw reflectance p95 - p5
WB2024_EVT_002263,True,102.0,111.0,7.0,100.0,0.21241165697574615,0.18516667187213898,0.0,0.0,0.0,0.264596626162529,0.09390000253915787,0.7864999771118164,,True,102,111,7,100.0,0.1141594648361206,0.11414999514818192,0.0,0.0,0.0,0.04973165690898895,0.03830000013113022,0.21449999511241913,,0.09825219213962555,GOOD,No obvious image-quality problems detected,raw Sentinel-2 reflectance,raw reflectance >= 1.0; potential clipping only,raw reflectance p95 - p5
WB2024_EVT_002312,True,102.0,112.0,7.0,100.0,0.12224343419075012,0.13236665725708008,0.0,0.0,0.0,0.10372332856059074,0.013700000010430813,0.24809999763965607,,True,102,112,7,100.0,0.08995137363672256,0.07966666668653488,0.0,0.0,0.0,0.08652333170175552,0.0272000003606081,0.2425999939441681,,0.03229206055402756,GOOD,No obvious image-quality problems detected,raw Sentinel-2 reflectance,raw reflectance >= 1.0; potential clipping only,raw reflectance p95 - p5
WB2024_EVT_002359,True,102.0,111.0,7.0,100.0,0.10889021307229996,0.11435000598430634,0.0,0.0,0.0,0.06703333556652069,0.027699999511241913,0.2312999963760376,,True,102,111,7,100.0,0.10205700993537903,0.10353332757949829,0.0,0.0,0.0,0.06189499795436859,0.027300000190734863,0.23160000145435333,,0.006833203136920929,GOOD,No obvious image-quality problems detected,raw Sentinel-2 reflectance,raw reflectance >= 1.0; potential clipping only,raw reflectance p95 - p5
