event_id,selection_category,start_time,end_time,duration_hours,detection_count,centroid_lat,centroid_lon,footprint_wkt,displacement_km,mean_frp,max_frp,frp_variance,mean_brightness_ti4,max_brightness_ti4,mean_brightness_ti5,max_brightness_ti5,event_type,near_duration_cap,review_flag,linked_next_event_id,linked_prev_event_id,verification_status,verified_label,verification_confidence,verification_reason,osm_checked,satellite_checked,weather_checked,osm_radius_m,osm_element_count,osm_industrial_count,osm_nearest_industrial_km,osm_nearest_industrial_type,osm_manmade_types,osm_power_types,osm_landuse,osm_natural_features,osm_waterways,osm_place_types,osm_context,osm_status,osm_error
WB2024_EVT_000716,chronic,2024-02-07 07:59:00,2024-03-18 07:09:00,959.167,98,22.055139,88.124001,"POLYGON ((88.12569 22.05028, 88.12183 22.05114, 88.12057 22.0522, 88.11367 22.05877, 88.11656 22.06645, 88.1235 22.06447, 88.12576 22.06164, 88.12853 22.05376, 88.12815 22.0514, 88.12732 22.05046, 88.12569 22.05028))",0.1666,2.142551020408164,5.52,0.9970965535193668,315.185,338.34,293.54418367346943,311.08,chronic,False,False,,,not_reviewed,,,,False,False,False,2000,173.0,1.0,1.9580333278766813,refinery,chimney|cooling|gasometer|pier|storage_tank|works,plant,brownfield|forest|grass|industrial|railway,bay|coastline|water|wood,canal|river,sea,industrial:refinery|landuse:brownfield|landuse:forest|landuse:grass|landuse:industrial|landuse:railway|man_made:chimney|man_made:cooling|man_made:gasometer|man_made:pier|man_made:storage_tank|man_made:works|natural:bay|natural:coastline|natural:water|natural:wood|place:sea|power:plant|waterway:canal|waterway:river,success,
WB2024_EVT_002323,chronic,2024-04-12 19:44:00,2024-05-15 06:57:00,779.217,99,22.377855,87.280224,"POLYGON ((87.28236 22.3742, 87.28116 22.37451, 87.27824 22.37562, 87.2771 22.37616, 87.27589 22.37727, 87.2757 22.37857, 87.27599 22.38171, 87.28733 22.38814, 87.2845 22.37497, 87.28236 22.3742))",0.3984,3.77010101010101,13.8,5.958477767574738,320.63353535353536,345.63,298.18262626262623,317.95,chronic,False,False,,,not_reviewed,,,,False,False,False,2000,48.0,0.0,,,,line|substation|tower,commercial|farmland|industrial|residential,water,stream,,landuse:commercial|landuse:farmland|landuse:industrial|landuse:residential|natural:water|power:line|power:substation|power:tower|waterway:stream,success,
WB2024_EVT_003852,chronic,2024-10-26 19:49:00,2024-11-28 19:29:00,791.667,97,22.364922,87.016204,"POLYGON ((87.01859 22.36028, 87.01251 22.36126, 87.01027 22.36235, 87.01096 22.36943, 87.01387 22.37025, 87.01913 22.36747, 87.01952 22.36617, 87.02016 22.36337, 87.01859 22.36028))",0.1795,1.8118556701030928,4.13,0.4970171750451695,311.3582474226804,332.92,292.38206185567014,306.01,chronic,False,False,,,not_reviewed,,,,False,False,False,2000,1.0,0.0,,,,,,,canal,,waterway:canal,success,
WB2024_EVT_003853,chronic,2024-10-26 19:49:00,2024-11-28 19:29:00,791.667,127,22.378842,87.278615,"POLYGON ((87.28163 22.37495, 87.27433 22.37708, 87.27324 22.37759, 87.27168 22.37917, 87.27148 22.38132, 87.27373 22.38263, 87.28471 22.3882, 87.29195 22.38194, 87.2892 22.37936, 87.28163 22.37495))",0.5894,2.96503937007874,8.49,2.451352557505115,318.20700787401563,344.81,294.21834645669287,309.93,chronic,False,False,,,not_reviewed,,,,False,False,False,2000,46.0,0.0,,,,line|substation|tower,commercial|farmland|industrial|residential,water,stream,,landuse:commercial|landuse:farmland|landuse:industrial|landuse:residential|natural:water|power:line|power:substation|power:tower|waterway:stream,success,
WB2024_EVT_003854,chronic,2024-10-26 19:49:00,2024-11-28 19:29:00,791.667,161,22.365932,87.298104,"POLYGON ((87.28809 22.35721, 87.27715 22.3594, 87.29393 22.37078, 87.29897 22.37208, 87.30234 22.37095, 87.30399 22.36761, 87.30415 22.36625, 87.30426 22.3636, 87.30344 22.36281, 87.2892 22.3573, 87.28809 22.35721))",0.3424,2.674472049689441,8.5,2.5759402492187804,316.69267080745345,343.94,294.37515527950313,310.17,chronic,False,False,,,not_reviewed,,,,False,False,False,2000,50.0,0.0,,,,line|substation|tower,industrial|residential,water,stream,,landuse:industrial|landuse:residential|natural:water|power:line|power:substation|power:tower|waterway:stream,success,
WB2024_EVT_003856,chronic,2024-10-27 19:29:00,2024-12-31 19:10:00,1559.683,341,23.692359,87.118276,"POLYGON ((87.12469 23.67237, 87.10769 23.69233, 87.10788 23.69294, 87.10941 23.69716, 87.11376 23.6982, 87.12051 23.69752, 87.12312 23.69709, 87.12333 23.69694, 87.12476 23.69484, 87.12524 23.6843, 87.12533 23.67435, 87.12469 23.67237))",1.49,1.7399413489736069,4.8,0.6427964774984736,306.72278592375363,333.76,290.06791788856304,304.29,chronic,False,False,,,not_reviewed,,,,False,False,False,2000,32.0,0.0,,,kiln,generator|line|substation|terminal|tower,industrial|residential,,,,landuse:industrial|landuse:residential|man_made:kiln|power:generator|power:line|power:substation|power:terminal|power:tower,success,
WB2024_EVT_003857,chronic,2024-10-27 19:29:00,2024-12-31 19:10:00,1559.683,190,23.693511,87.101918,"POLYGON ((87.09621 23.68873, 87.09419 23.68978, 87.09412 23.69066, 87.09405 23.6947, 87.10033 23.69786, 87.10583 23.6999, 87.10909 23.69661, 87.11012 23.69281, 87.10979 23.69228, 87.09994 23.68878, 87.09621 23.68873))",0.867,1.544157894736842,5.54,0.4463842908587258,303.0065263157896,317.86,289.14,298.63,chronic,False,False,,,not_reviewed,,,,False,False,False,2000,48.0,0.0,,,,line|substation|terminal|tower,industrial|residential,,,,landuse:industrial|landuse:residential|power:line|power:substation|power:terminal|power:tower,success,
WB2024_EVT_003863,chronic,2024-10-27 19:29:00,2024-12-03 19:35:00,888.1,54,23.615697,86.787389,"POLYGON ((86.78896 23.61256, 86.78717 23.61314, 86.78617 23.61354, 86.78114 23.61571, 86.77716 23.62034, 86.7882 23.61844, 86.79103 23.61661, 86.79119 23.61503, 86.79034 23.61373, 86.78896 23.61256))",0.1307,1.4137037037037037,3.17,0.2509381344307269,305.5798148148148,315.64,290.5257407407408,298.81,chronic,False,False,,,not_reviewed,,,,False,False,False,2000,34.0,0.0,,,,line|portal|tower,,water|wood,,,natural:water|natural:wood|power:line|power:portal|power:tower,success,
WB2024_EVT_003864,chronic,2024-10-27 19:30:00,2024-11-30 18:51:00,815.35,81,22.054982,88.123526,"POLYGON ((88.12662 22.05101, 88.12206 22.05186, 88.11806 22.05266, 88.11923 22.05731, 88.12312 22.06032, 88.1278 22.05716, 88.12894 22.05334, 88.12859 22.05233, 88.12662 22.05101))",0.5674,2.306543209876543,7.14,1.5828250876390793,315.3964197530864,340.78,294.59666666666664,307.67,chronic,False,False,,,not_reviewed,,,,False,False,False,2000,176.0,1.0,1.909079649787127,refinery,chimney|cooling|gasometer|pier|storage_tank|works,plant,brownfield|forest|grass|industrial|railway,bay|coastline|water|wood,canal|river,sea,industrial:refinery|landuse:brownfield|landuse:forest|landuse:grass|landuse:industrial|landuse:railway|man_made:chimney|man_made:cooling|man_made:gasometer|man_made:pier|man_made:storage_tank|man_made:works|natural:bay|natural:coastline|natural:water|natural:wood|place:sea|power:plant|waterway:canal|waterway:river,success,
WB2024_EVT_004299,chronic,2024-12-01 20:13:00,2024-12-31 20:50:00,720.617,100,23.667087,86.919582,"POLYGON ((86.91147 23.66248, 86.91047 23.66321, 86.90936 23.6643, 86.91257 23.66886, 86.91453 23.67093, 86.92174 23.67136, 86.92271 23.67014, 86.92367 23.66859, 86.9255 23.66562, 86.9246 23.66431, 86.91147 23.66248))",0.0695,2.1125,7.98,2.2835947500000007,312.4177,347.32,288.9472,302.95,chronic,False,False,,,not_reviewed,,,,False,False,False,2000,70.0,0.0,,,,generator|line|pole|substation|tower,industrial|residential,water,,,landuse:industrial|landuse:residential|natural:water|power:generator|power:line|power:pole|power:substation|power:tower,success,
WB2024_EVT_000310,geographic_diversity,2024-01-08 07:21:00,2024-01-08 07:21:00,0.0,1,22.16842,88.91613,POINT (88.91613 22.16842),0.0,6.01,6.01,0.0,336.29,336.29,301.59,301.59,single_detection,False,False,,,not_reviewed,,,,False,False,False,2000,12.0,0.0,,,,,,bay|coastline|water|wetland,river,sea,natural:bay|natural:coastline|natural:water|natural:wetland|place:sea|waterway:river,success,
WB2024_EVT_001101,geographic_diversity,2024-03-09 06:38:00,2024-03-09 06:38:00,0.0,2,22.42109,87.93531,"LINESTRING (87.93343 22.42068, 87.93719 22.4215)",0.3976,20.97,20.97,0.0,345.745,346.53,307.545,314.86,multi_detection,False,False,,,not_reviewed,,,,False,False,False,2000,3.0,0.0,,,,,,water,canal|river,,natural:water|waterway:canal|waterway:river,success,
WB2024_EVT_001117,geographic_diversity,2024-03-10 06:20:00,2024-03-10 06:20:00,0.0,2,26.762725,89.438275,"LINESTRING (89.43578 26.7621, 89.44077 26.76335)",0.5153,32.33,32.33,0.0,353.74,367.0,300.58500000000004,303.23,multi_detection,False,False,,,not_reviewed,,,,False,False,False,2000,7.0,0.0,,,,,forest|residential,shingle,river,,landuse:forest|landuse:residential|natural:shingle|waterway:river,success,
WB2024_EVT_001169,geographic_diversity,2024-03-11 07:41:00,2024-03-13 07:03:00,47.367,4,22.470605,86.83072,"POLYGON ((86.83287 22.46829, 86.82782 22.47057, 86.82727 22.47437, 86.83492 22.46919, 86.83287 22.46829))",0.9741,16.9825,30.34,178.44591875,338.4,346.53,304.935,308.65,persistent,False,False,,,not_reviewed,,,,False,False,False,2000,11.0,0.0,,,,line|tower,,,,,power:line|power:tower,success,
WB2024_EVT_001351,geographic_diversity,2024-03-17 07:29:00,2024-03-17 07:29:00,0.0,2,26.917355,88.236285,"LINESTRING (88.23407 26.91708, 88.2385 26.91763)",0.4442,21.6,29.86,68.2276,347.855,348.6,306.215,308.65,multi_detection,False,False,,,not_reviewed,,,,False,False,False,2000,761.0,0.0,,,chimney,,farmland|forest|orchard|residential,mountain_range|sand|scree|scrub|wood,river|stream,region,landuse:farmland|landuse:forest|landuse:orchard|landuse:residential|man_made:chimney|natural:mountain_range|natural:sand|natural:scree|natural:scrub|natural:wood|place:region|waterway:river|waterway:stream,success,
WB2024_EVT_001956,geographic_diversity,2024-04-02 07:07:00,2024-04-02 07:07:00,0.0,3,24.06308,88.63887,"POLYGON ((88.6349 24.06243, 88.63887 24.06308, 88.64284 24.06373, 88.6349 24.06243))",0.8203,12.25,23.93,68.21119999999998,345.1766666666667,350.93,313.64333333333326,316.32,multi_detection,False,False,,,not_reviewed,,,,False,False,False,2000,17.0,0.0,,,,line|tower,,,river,,power:line|power:tower|waterway:river,success,
WB2024_EVT_002456,geographic_diversity,2024-04-17 07:23:00,2024-04-17 07:23:00,0.0,2,23.574605,87.42822,"LINESTRING (87.4285 23.57295, 87.42794 23.57626)",0.371,30.77,30.77,0.0,341.485,344.49,310.235,311.9,multi_detection,False,False,,,not_reviewed,,,,False,False,False,2000,0.0,0.0,,,,,,,,,,success,
WB2024_EVT_002474,geographic_diversity,2024-04-17 07:23:00,2024-04-17 07:23:00,0.0,2,22.890835,87.29069,"LINESTRING (87.29256 22.89111, 87.28882 22.89056)",0.3885,32.2,32.2,0.0,347.86,348.71,315.82,316.49,multi_detection,False,False,,,not_reviewed,,,,False,False,False,2000,9.0,0.0,,,,,reservoir,water|wood,dam|river,,landuse:reservoir|natural:water|natural:wood|waterway:dam|waterway:river,success,
WB2024_EVT_002831,geographic_diversity,2024-04-25 08:14:00,2024-04-25 08:14:00,0.0,2,25.459935,88.428815,"LINESTRING (88.42863 25.46353, 88.429 25.45634)",0.7974,19.245,30.6,128.936025,352.15,367.0,305.255,305.28,multi_detection,False,False,,,not_reviewed,,,,False,False,False,2000,3.0,0.0,,,,,,,river,,waterway:river,success,
WB2024_EVT_003283,geographic_diversity,2024-05-03 07:23:00,2024-05-04 19:32:00,36.15,3,23.289183,86.088603,"POLYGON ((86.08537 23.2862, 86.08801 23.29208, 86.09243 23.28927, 86.08537 23.2862))",0.5489,8.31,18.05,48.18286666666668,339.23999999999995,353.98,311.3966666666667,319.97,persistent,False,False,,,not_reviewed,,,,False,False,False,2000,1.0,0.0,,,,,,wood,,,natural:wood,success,
WB2024_EVT_003438,geographic_diversity,2024-05-16 06:39:00,2024-05-16 06:39:00,0.0,2,25.32871,87.812985,"LINESTRING (87.81461 25.32907, 87.81136 25.32835)",0.3368,8.92,11.65,7.4529,349.015,367.0,296.225,296.87,multi_detection,False,False,,,not_reviewed,,,,False,False,False,2000,11.0,0.0,,,dyke,,residential,sand|water,river,,landuse:residential|man_made:dyke|natural:sand|natural:water|waterway:river,success,
